#cloud--camel--transamericamoon,#cloud--camel--ge0ffrey,#cloud--camel--chandra-h-bitd,#cloud--camel--iliya-gr,#cloud--camel--bonnetb,#cloud--camel--christian-posta,#cloud--camel--phantomjinx,#cloud--camel--henka-rl,#cloud--camel--jkorab,#cloud--camel--cristianonicolai,#cloud--camel--sirlatrom,#cloud--camel--brmeyer,#cloud--camel--mmelko,#cloud--camel--adessaigne,#cloud--camel--DavidValeri,#cloud--camel--hqstevenson,#cloud--camel--jstrachan
95,687,166,489,2736,470,239,97,606,157,492,2677,526,3051,602,1282,2359
0.3333333333333333,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.36363636363636365,0.5454545454545454,0.35714285714285715,0.3333333333333333,0.5,1.1,0.4,0.59375,0.47058823529411764,0.32432432432432434,0.49458483754512633
0.3333333333333333,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.6363636363636364,0.36363636363636365,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.4,0.26666666666666666,0.28125,0.38235294117647056,0.2702702702702703,0.2967509025270758
