#big-data--beam--lhaiesp,#big-data--beam--cmachgodaddy,#big-data--beam--axelmagn,#big-data--beam--JingsongLi,#big-data--beam--bsidhom,#big-data--beam--aviemzur
448,221,104,171,219,351
0.8888888888888888,3.0,0.7368421052631579,1.3157894736842106,0.6949152542372882,0.5866666666666667
0.4444444444444444,0.8333333333333334,0.47368421052631576,0.5,0.4067796610169492,0.44
