#big-data--zeppelin--weand,#big-data--zeppelin--AlexanderShoshin,#big-data--zeppelin--rranjan03,#big-data--zeppelin--andreaTP,#big-data--zeppelin--bbonnin,#big-data--zeppelin--mwkang,#big-data--zeppelin--karuppayya,#big-data--zeppelin--agoodm,#big-data--zeppelin--echarles,#big-data--zeppelin--necosta,#big-data--zeppelin--khalidhuseynov
1281,123,132,143,404,259,371,159,676,328,724
1.0,0.875,1.2666666666666666,0.5,0.8333333333333334,1.375,2.125,0.8888888888888888,1.0,0.5333333333333333,0.5476190476190477
0.5,0.375,0.6,0.3333333333333333,0.5,0.5,0.5,0.3333333333333333,0.5,0.4,0.3333333333333333
