#big-data--samza--pdu-mn1,#big-data--samza--atoomula,#big-data--samza--srinipunuru,#big-data--samza--sborya,#big-data--samza--navina
207,1106,622,1914,1086
1.0,0.5892857142857143,0.8157894736842105,0.7301587301587301,1.0740740740740742
0.3333333333333333,0.48214285714285715,0.6052631578947368,0.3968253968253968,0.3333333333333333
