#network-client--cayenne--ollybondareva,#network-client--cayenne--const1993,#network-client--cayenne--AlexKolonitsky,#network-client--cayenne--johnthuss,#network-client--cayenne--dzmitryk
272,233,421,3731,1964
0.4,0.28888888888888886,0.2631578947368421,0.22666666666666666,0.19463087248322147
0.4,0.24444444444444444,0.21052631578947367,0.22666666666666666,0.18120805369127516
