#build-management--maven--bimargulies,#build-management--maven--oehme,#build-management--maven--mickaelistria,#build-management--maven--atanasenko,#build-management--maven--mthmulders,#build-management--maven--ChristianSchulte,#build-management--maven--ifedorenko,#build-management--maven--krosenvold,#build-management--maven--bentmann
352,105,1011,396,688,1105,2675,2058,1785
0.7777777777777778,0.3333333333333333,0.7,0.42857142857142855,0.2857142857142857,0.25925925925925924,0.2597402597402597,0.25862068965517243,0.18935729094678647
0.5555555555555556,0.3333333333333333,0.7,0.2857142857142857,0.19047619047619047,0.18518518518518517,0.2727272727272727,0.1896551724137931,0.2957843814789219
