#http--thrift--bgould,#http--thrift--qinghui-xu,#http--thrift--belugabehr,#http--thrift--toddlipcon
357,292,913,1103
0.125,0.1,0.13793103448275862,0.2857142857142857
0.125,0.1,0.10344827586206896,0.14285714285714285
