#http--httpcomponents-client--fxbonnet,#http--httpcomponents-client--rschmitt,#http--httpcomponents-client--michael-o,#http--httpcomponents-client--sebbASF,#http--httpcomponents-client--ok2c
637,1300,2556,3438,6150
0.5,0.25,0.1746031746031746,0.08941176470588236,0.1624390243902439
0.4166666666666667,0.25,0.12698412698412698,0.12941176470588237,0.25609756097560976
