#library--commons-compress--weirdkid,#library--commons-compress--rpreissel,#library--commons-compress--DaGeRe,#library--commons-compress--ctron,#library--commons-compress--pmouawad,#library--commons-compress--trixpan,#library--commons-compress--tballison,#library--commons-compress--tcurdt
0.0007598784194528875,0.0022796352583586625,0.0022796352583586625,0.003799392097264438,0.0060790273556231,0.0060790273556231,0.015197568389057751,0.1580547112462006
2.0,0.5,1.0,0.5,0.5,1.0,0.45454545454545453,0.9
1.0,0.5,1.0,0.5,0.5,1.0,0.45454545454545453,0.275
