#library--directory-kerby--farhan5900,#library--directory-kerby--ftarlao,#library--directory-kerby--HazelChen
0.00014587892049598833,0.00029175784099197665,0.04741064916119621
1.0,1.0,0.2625
1.0,1.0,0.375
