#library--thrift--vihangk1,#library--thrift--punwinger,#library--thrift--roshan,#library--thrift--thomaslee
0.00020622808826562179,0.00020622808826562179,0.0008249123530624871,0.0014435966178593523
1.0,1.0,0.25,0.5
1.0,1.0,0.25,0.25
