#network-server--cayenne--ollybondareva,#network-server--cayenne--const1993,#network-server--cayenne--AlexKolonitsky,#network-server--cayenne--johnthuss,#network-server--cayenne--dzmitryk,#network-server--cayenne--thinline72
272,233,421,3731,1964,885
0.4,0.28888888888888886,0.2631578947368421,0.22666666666666666,0.19463087248322147,0.19375
0.4,0.24444444444444444,0.21052631578947367,0.22666666666666666,0.18120805369127516,0.1875
