#network-server--felix--ffang,#network-server--felix--bobpaulin,#network-server--felix--srs,#network-server--felix--djencks,#network-server--felix--gertv,#network-server--felix--gnodet
1764,309,2208,1882,1291,3914
0.2222222222222222,0.36,0.3181818181818182,0.680327868852459,0.2727272727272727,0.18754745634016703
0.2222222222222222,0.36,0.20454545454545456,0.6775956284153005,0.18181818181818182,0.18147304479878512
