#xml--cayenne--ollybondareva,#xml--cayenne--const1993,#xml--cayenne--AlexKolonitsky,#xml--cayenne--johnthuss
272,233,421,3731
0.4,0.28888888888888886,0.2631578947368421,0.22666666666666666
0.4,0.24444444444444444,0.21052631578947367,0.22666666666666666
