#javaee--deltaspike--danielsoro,#javaee--deltaspike--chkal,#javaee--deltaspike--rmannibucau
329,1278,1809
0.23809523809523808,0.2391304347826087,0.6829268292682927
0.2857142857142857,0.1956521739130435,0.2926829268292683
