#library--cxf--cyrille-leclerc,#library--cxf--TomasHofman,#library--cxf--grgrzybek,#library--cxf--DavidValeri,#library--cxf--johnament,#library--cxf--jimma,#library--cxf--cschneider,#library--cxf--bimargulies
134,1140,1301,260,572,4582,3279,1746
0.2631578947368421,0.5,0.3076923076923077,1.0454545454545454,0.45161290322580644,0.3888888888888889,0.3370473537604457,0.3016759776536313
0.2631578947368421,0.3333333333333333,0.3076923076923077,0.6363636363636364,0.2903225806451613,0.3148148148148148,0.20891364902506965,0.26256983240223464
