#library--groovy--graemerocher,#library--groovy--rose00,#library--groovy--ataylor284,#library--groovy--jbaumann,#library--groovy--fpavageau,#library--groovy--vmj,#library--groovy--MammatusPlatypus,#library--groovy--shils,#library--groovy--jimwhite,#library--groovy--spullara,#library--groovy--jeremyrayner,#library--groovy--andresteingress,#library--groovy--roshandawrani,#library--groovy--alextkachman,#library--groovy--eric-milles,#library--groovy--blackdrag,#library--groovy--jstrachan,#library--groovy--melix
1352,196,1691,430,323,1171,102,1806,2334,575,1380,3078,1107,1258,1500,5618,732,3462
0.3333333333333333,0.25,0.5,0.25925925925925924,0.8235294117647058,0.3125,0.5384615384615384,0.5373134328358209,0.3333333333333333,0.5252525252525253,0.3924050632911392,0.47692307692307695,0.4838709677419355,0.6866197183098591,0.33153153153153153,0.4251968503937008,0.24539282250242483,0.4486455981941309
0.3333333333333333,0.25,0.3333333333333333,0.2222222222222222,0.4117647058823529,0.3125,0.23076923076923078,0.29850746268656714,0.2222222222222222,0.32323232323232326,0.2088607594936709,0.24615384615384617,0.3935483870967742,0.3873239436619718,0.33693693693693694,0.3119321623258631,0.2046556741028128,0.35665914221218964
