#library--camel--transamericamoon,#library--camel--bgaudaen,#library--camel--ge0ffrey,#library--camel--chandra-h-bitd,#library--camel--iliya-gr,#library--camel--bonnetb,#library--camel--christian-posta,#library--camel--phantomjinx,#library--camel--dpocock,#library--camel--henka-rl,#library--camel--jkorab,#library--camel--cristianonicolai,#library--camel--sirlatrom,#library--camel--brmeyer,#library--camel--bobpaulin,#library--camel--snurmine,#library--camel--mmelko,#library--camel--adessaigne,#library--camel--DavidValeri,#library--camel--anoordover,#library--camel--grgrzybek,#library--camel--hqstevenson,#library--camel--cmoulliard,#library--camel--chirino,#library--camel--hzbarcea,#library--camel--jstrachan
95,225,687,166,489,2736,470,239,262,97,606,157,492,2677,1529,900,526,3051,602,275,3173,1282,2522,5412,2262,2359
0.3333333333333333,0.2727272727272727,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.36363636363636365,0.35294117647058826,0.5454545454545454,0.35714285714285715,0.3333333333333333,0.5,1.1,0.2631578947368421,0.2777777777777778,0.4,0.59375,0.47058823529411764,0.2463768115942029,0.2702702702702703,0.32432432432432434,0.2578616352201258,0.6153846153846154,0.332892998678996,0.49458483754512633
0.3333333333333333,0.36363636363636365,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.6363636363636364,0.23529411764705882,0.36363636363636365,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.4,0.23684210526315788,0.2222222222222222,0.26666666666666666,0.28125,0.38235294117647056,0.2028985507246377,0.2972972972972973,0.2702702702702703,0.24528301886792453,0.21266968325791855,0.21003963011889035,0.2967509025270758
