#library--pdfbox--jmaerki,#library--pdfbox--jahewson,#library--pdfbox--jukka,#library--pdfbox--lehmi
2123,1547,1563,5109
2.0,0.7165354330708661,0.6779661016949152,0.5106679035250464
0.3611111111111111,0.41863517060367456,0.2542372881355932,0.35760667903525045
