#library--mahout--drewfarris,#library--mahout--adeneche,#library--mahout--MaineC,#library--mahout--jakemannix,#library--mahout--tdunning,#library--mahout--robinanil
842,820,1562,1269,1473,1399
0.4909090909090909,0.34285714285714286,0.40540540540540543,0.5373134328358209,0.2869198312236287,0.42857142857142855
0.21818181818181817,0.2857142857142857,0.21621621621621623,0.47761194029850745,0.5021097046413502,0.3416149068322981
