#other--calcite--pengzhiwei2018,#other--calcite--mehant,#other--calcite--chris-baynes,#other--calcite--gianm,#other--calcite--amoghmargoor,#other--calcite--eolivelli,#other--calcite--ihuzenko,#other--calcite--xndai,#other--calcite--ritesh-kapoor,#other--calcite--nishantmonu51,#other--calcite--wenhuitang,#other--calcite--wuchong,#other--calcite--jinfengni,#other--calcite--b-slim,#other--calcite--zinking,#other--calcite--vkorukanti,#other--calcite--hsuanyi,#other--calcite--jinxing64,#other--calcite--Zhiqiang-He,#other--calcite--laurentgo,#other--calcite--kgyrtkirk,#other--calcite--DonnyZone,#other--calcite--snuyanzin,#other--calcite--amaliujia,#other--calcite--minji-kim,#other--calcite--yanlin-Lynn,#other--calcite--jamesstarr,#other--calcite--beikov,#other--calcite--maryannxue,#other--calcite--zhztheplayer,#other--calcite--vvysotskyi,#other--calcite--jcamachor
516,412,715,806,325,356,419,238,387,783,366,1220,394,477,1844,751,452,312,335,1305,766,412,1606,821,537,644,408,923,758,279,1682,2496
0.6875,1.7142857142857142,2.0,1.25,8.5,1.5,1.6666666666666667,0.5333333333333333,0.7777777777777778,1.3636363636363635,1.0769230769230769,2.1666666666666665,1.5,1.3846153846153846,1.2,2.0714285714285716,1.619047619047619,0.6551724137931034,2.875,0.5769230769230769,1.0285714285714285,0.6363636363636364,0.5416666666666666,0.5454545454545454,2.7083333333333335,0.5277777777777778,0.7777777777777778,1.2857142857142858,1.2142857142857142,0.56,0.7941176470588235,1.1317365269461077
0.6875,0.5714285714285714,0.8888888888888888,0.6666666666666666,1.0,0.5,0.8333333333333334,0.4,0.8888888888888888,0.7727272727272727,0.8461538461538461,0.6666666666666666,0.6666666666666666,0.8461538461538461,0.9,0.8571428571428571,0.9047619047619048,0.7586206896551724,0.875,0.5769230769230769,0.8857142857142857,0.9090909090909091,0.5,0.5,0.75,0.8055555555555556,0.5555555555555556,0.42857142857142855,0.8214285714285714,0.4,0.5,0.5988023952095808
