#network-server--thrift--punwinger,#network-server--thrift--vihangk1,#network-server--thrift--roshan,#network-server--thrift--thomaslee,#network-server--thrift--dmvolod
0.00020622808826562179,0.00020622808826562179,0.0008249123530624871,0.0014435966178593523,0.002680965147453083
1.0,1.0,0.25,0.5,0.2
1.0,1.0,0.25,0.25,0.2
