#content--pdfbox--jmaerki,#content--pdfbox--jahewson,#content--pdfbox--THausherr,#content--pdfbox--jukka,#content--pdfbox--lehmi
2123,1547,3254,1563,5109
2.0,0.7165354330708661,0.1321882001493652,0.6779661016949152,0.5106679035250464
0.3611111111111111,0.41863517060367456,0.15474234503360718,0.2542372881355932,0.35760667903525045
