#database--curator--estliberitas,#database--curator--wsorenson,#database--curator--dtrott,#database--curator--arankin-irl,#database--curator--julnamoo,#database--curator--ramaraochavali,#database--curator--hebelala,#database--curator--joshng,#database--curator--alexbrasetvik,#database--curator--pixiaz,#database--curator--gtully,#database--curator--samuelgmartinez,#database--curator--arrodrigues,#database--curator--Hendrik-H,#database--curator--tdyas,#database--curator--iocanel
0.00043572984749455336,0.00043572984749455336,0.0008714596949891067,0.0008714596949891067,0.0008714596949891067,0.0008714596949891067,0.0008714596949891067,0.0008714596949891067,0.0008714596949891067,0.0008714596949891067,0.0008714596949891067,0.0008714596949891067,0.00130718954248366,0.0017429193899782135,0.0030501089324618735,0.025272331154684097
1.0,1.0,3.0,1.0,1.0,0.2857142857142857,0.25,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,2.5,1.0,0.3333333333333333
1.0,1.0,1.0,0.5,1.0,0.2857142857142857,0.25,0.5,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.3333333333333333
